"","ip_address","latitude","longitude"
"2662136","41.222.181.72",-6.1145,35.7237
"2665095","41.222.181.72",-6.7719,39.1875
"2666312","41.222.181.72",-6.7717,39.1878
"2666605","41.222.181.72",-6.8405,37.6694
"2668296","41.222.181.72",-6.075,36.6443
"2669441","41.222.181.72",-6.7715,39.1874
"2671187","41.222.181.72",-5.009,32.8181
"2674085","41.222.181.72",-6.166,39.2099
"2675634","41.222.181.72",-5.0208,32.8019
"2677494","41.222.181.72",-5.1006,39.0984
"2677593","41.222.181.72",-6.7769,39.1939
"2678168","41.222.181.72",-6.168,39.1975
"2678186","41.222.181.72",-6.7271,39.2143
"2678713","41.222.181.72",-3.8355,32.5838
"2687229","41.222.181.72",-1.5128,33.7892
"2688592","41.222.181.72",-6.808,39.2621
"2688959","41.222.181.72",-6.7586,39.2397
"2693010","41.222.181.72",-6.9051,39.1655
"2694385","41.222.181.72",-10.682,35.6579
"2696634","41.222.181.72",-6.7901,39.1414
"2699947","41.222.181.72",-6.8301,39.2451
"2746419","41.222.181.72",-8.9003,33.4462
"2747170","41.222.181.72",-6.7703,39.2293
"2747287","41.222.181.72",-7.4013,36.9905
"2753909","41.222.181.72",-6.809,39.2478
"2800213","41.222.181.72",-6.7767,39.2639
"2829556","41.222.181.72",-6.8326,39.247
"2906855","41.222.181.72",-2.6146,32.9354
"2961907","41.222.181.72",-2.024,33.8727
"2966796","41.222.181.72",-2.6147,32.9355
"2979792","41.222.181.72",-2.544,32.9763
"2992106","41.222.181.72",-6.9487,39.2251
"3023524","41.222.181.72",-9.9985,39.7161
"3025255","41.222.181.72",-9.3099,32.7645
"3041088","41.222.181.72",-2.0224,33.8718
"3052020","41.222.181.72",-2.5569,33.0428
"3088062","41.222.181.72",-6.8857,39.2741
"3089933","41.222.181.72",-6.8204,37.6465
"3125976","41.222.181.72",-6.7801,38.9975
"3157419","41.222.181.72",-3.3673,36.6591
"3191204","41.222.181.72",-6.7923,39.2638
"3205287","41.222.181.72",-6.8462,39.1549
"3212123","41.222.181.72",-3.3924,36.7053
"3214312","41.222.181.72",-6.1875,35.7364
"3221926","41.222.181.72",-6.8231,37.663
"3229014","41.222.181.72",-1.4635,34.5145
"3249914","41.222.181.72",-1.4635,34.5144
"3250088","41.222.181.72",-6.8873,39.1666
"3259721","41.222.181.72",-6.79,39.2643
"3270695","41.222.181.72",-6.7434,39.0854
"3279381","41.222.181.72",-6.7715,39.2293
"3279615","41.222.181.72",-6.7929,39.264
"3313339","41.222.181.72",-6.8231,37.663
"3325173","41.222.181.72",-2.529,32.9387
"3326839","41.222.181.72",-6.8231,37.6631
"3334706","41.222.181.72",-6.7927,39.264
"3338752","41.222.181.72",-6.823,37.6631
"3344222","41.222.181.72",-6.8201,39.2996
"3347298","41.222.181.72",-6.8231,37.663
"3359215","41.222.181.72",-5.0774,39.1257
"3374821","41.222.181.72",-5.1001,39.0995
"3381613","41.222.181.72",-6.8766,39.2205
"3386666","41.222.181.72",-6.8525,39.2114
"3417942","41.222.181.72",-5.0934,39.0831
"3436749","41.222.181.72",-6.7929,39.066
"3438047","41.222.181.72",-5,32.8393
"3439541","41.222.181.72",-4.887,29.6544
"3445095","41.222.181.72",-10.2817,40.1874
"3465094","41.222.181.72",-5.0894,39.1224
"3466940","41.222.181.72",-6.837,37.6688
"3470992","41.222.181.72",-5.1004,39.099
"3480957","41.222.181.72",-5.1093,39.1066
"3507478","41.222.181.72",-6.6411,39.1906
"3512125","41.222.181.72",-5.0927,39.0964
"3515691","41.222.181.72",-5.1095,39.1066
"3517597","41.222.181.72",-4.8868,29.6545
"3525128","41.222.181.72",-2.4979,32.9258
"3525638","41.222.181.72",-6.7646,39.2296
"3549677","41.222.181.72",-2.6181,32.9365
"3563773","41.222.181.72",-6.7929,39.0087
"3569499","41.222.181.72",-10.2824,40.1876
"3575347","41.222.181.72",-6.7055,39.2088
"3587199","41.222.181.72",-6.189,35.7296
"3626281","41.222.181.72",-5.0932,39.0619
"3643276","41.222.181.72",-4.8881,29.653
"3664198","41.222.181.72",-4.8902,29.6508
"3690828","41.222.181.72",-4.46,37.2012
